,사이즈,총장,어깨너비,가슴단면,소매길이,성별,키,몸무게,후기
117,S,67,48,52,22,여자,167cm,55kg,적당함
118,S,67,48,52,22,여자,167cm,55kg,적당함
119,S,67,48,52,22,여자,167cm,55kg,적당함
120,S,67,48,52,22,남자,169cm,65kg,작음
121,S,67,48,52,22,남자,169cm,65kg,작음
122,S,67,48,52,22,남자,169cm,65kg,작음
123,S,67,48,52,22,남자,169cm,65kg,작음
124,S,67,48,52,22,여자,157cm,54kg,적당함
125,S,67,48,52,22,여자,157cm,54kg,적당함
126,S,67,48,52,22,여자,157cm,54kg,적당함
127,S,67,48,52,22,여자,157cm,54kg,적당함
128,S,67,48,52,22,여자,164cm,53kg,적당함
129,S,67,48,52,22,여자,164cm,53kg,적당함
130,S,67,48,52,22,여자,164cm,53kg,적당함
131,S,67,48,52,22,여자,164cm,53kg,적당함
132,S,67,48,52,22,여자,158cm,54kg,적당함
133,S,67,48,52,22,여자,158cm,54kg,적당함
134,S,67,48,52,22,여자,158cm,54kg,적당함
135,S,67,48,52,22,여자,158cm,54kg,적당함
136,S,67,48,52,22,남자,167cm,55kg,적당함
137,S,67,48,52,22,남자,167cm,55kg,적당함
138,S,67,48,52,22,남자,167cm,55kg,적당함
139,S,67,48,52,22,남자,167cm,55kg,적당함
140,S,67,48,52,22,여자,162cm,50kg,적당함
141,S,67,48,52,22,여자,162cm,50kg,적당함
142,S,67,48,52,22,여자,162cm,50kg,적당함
143,S,67,48,52,22,여자,162cm,50kg,적당함
144,S,67,48,52,22,여자,160cm,40kg,큼
145,S,67,48,52,22,여자,160cm,40kg,큼
146,S,67,48,52,22,여자,160cm,40kg,큼
147,S,67,48,52,22,여자,160cm,40kg,큼
148,M,70,50.5,55.5,24,여자,170cm,73kg,적당함
149,M,70,50.5,55.5,24,여자,170cm,73kg,적당함
150,M,70,50.5,55.5,24,여자,170cm,73kg,적당함
151,M,70,50.5,55.5,24,여자,170cm,73kg,적당함
152,M,70,50.5,55.5,24,남자,178cm,60kg,적당함
153,M,70,50.5,55.5,24,남자,178cm,60kg,적당함
154,M,70,50.5,55.5,24,남자,178cm,60kg,적당함
155,M,70,50.5,55.5,24,남자,178cm,60kg,적당함
156,M,70,50.5,55.5,24,여자,165cm,45kg,큼
157,M,70,50.5,55.5,24,여자,165cm,45kg,큼
158,M,70,50.5,55.5,24,여자,165cm,45kg,큼
159,M,70,50.5,55.5,24,여자,165cm,45kg,큼
160,M,70,50.5,55.5,24,여자,158cm,55kg,적당함
161,M,70,50.5,55.5,24,여자,158cm,55kg,적당함
162,M,70,50.5,55.5,24,여자,158cm,55kg,적당함
163,M,70,50.5,55.5,24,여자,158cm,55kg,적당함
164,M,70,50.5,55.5,24,남자,170cm,65kg,적당함
165,M,70,50.5,55.5,24,남자,170cm,65kg,적당함
166,M,70,50.5,55.5,24,남자,170cm,65kg,적당함
167,M,70,50.5,55.5,24,남자,170cm,65kg,적당함
168,M,70,50.5,55.5,24,여자,169cm,58kg,큼
169,M,70,50.5,55.5,24,여자,169cm,58kg,큼
170,M,70,50.5,55.5,24,여자,169cm,58kg,큼
171,M,70,50.5,55.5,24,여자,169cm,58kg,큼
172,M,70,50.5,55.5,24,여자,167cm,51kg,큼
173,M,70,50.5,55.5,24,여자,167cm,51kg,큼
174,M,70,50.5,55.5,24,여자,167cm,51kg,큼
175,M,70,50.5,55.5,24,여자,167cm,51kg,큼
176,M,70,50.5,55.5,24,여자,160cm,50kg,큼
177,M,70,50.5,55.5,24,여자,160cm,50kg,큼
178,M,70,50.5,55.5,24,여자,160cm,50kg,큼
179,M,70,50.5,55.5,24,여자,160cm,50kg,큼
180,M,70,50.5,55.5,24,여자,159cm,49kg,적당함
181,M,70,50.5,55.5,24,여자,159cm,49kg,적당함
182,M,70,50.5,55.5,24,여자,159cm,49kg,적당함
183,M,70,50.5,55.5,24,여자,159cm,49kg,적당함
184,M,70,50.5,55.5,24,여자,166cm,62kg,큼
185,M,70,50.5,55.5,24,여자,166cm,62kg,큼
186,M,70,50.5,55.5,24,여자,166cm,62kg,큼
187,M,70,50.5,55.5,24,여자,166cm,62kg,큼
188,M,70,50.5,55.5,24,남자,163cm,59kg,적당함
189,M,70,50.5,55.5,24,남자,163cm,59kg,적당함
190,M,70,50.5,55.5,24,남자,163cm,59kg,적당함
191,M,70,50.5,55.5,24,남자,163cm,59kg,적당함
192,M,70,50.5,55.5,24,여자,165cm,52kg,적당함
193,M,70,50.5,55.5,24,여자,165cm,52kg,적당함
194,M,70,50.5,55.5,24,여자,165cm,52kg,적당함
195,M,70,50.5,55.5,24,여자,165cm,52kg,적당함
196,M,70,50.5,55.5,24,여자,158cm,45kg,적당함
197,M,70,50.5,55.5,24,여자,158cm,45kg,적당함
198,M,70,50.5,55.5,24,여자,158cm,45kg,적당함
199,M,70,50.5,55.5,24,여자,158cm,45kg,적당함
200,M,70,50.5,55.5,24,남자,162cm,54kg,적당함
201,M,70,50.5,55.5,24,남자,162cm,54kg,적당함
202,M,70,50.5,55.5,24,남자,162cm,54kg,적당함
203,M,70,50.5,55.5,24,남자,162cm,54kg,적당함
